,High,Low,Open,Close,Volume,Adj Close
2021-04-29,6.21999979019165,5.599999904632568,5.690000057220459,6.21999979019165,232023625,6.21999979019165
2021-04-30,6.840000152587891,6.119999885559082,6.21999979019165,6.840000152587891,252809441,6.840000152587891
2021-05-06,7.519999980926514,6.539999961853027,7.110000133514404,7.0,267359160,7.0
2021-05-07,7.159999847412109,6.300000190734863,7.03000020980835,6.300000190734863,182100673,6.300000190734863
2021-05-10,6.440000057220459,5.829999923706055,6.0,6.300000190734863,220214178,6.300000190734863
2021-05-11,6.25,5.670000076293945,6.150000095367432,6.019999980926514,219208027,6.019999980926514
2021-05-12,6.619999885559082,6.199999809265137,6.260000228881836,6.619999885559082,104680880,6.619999885559082
2021-05-13,7.28000020980835,7.070000171661377,7.28000020980835,7.28000020980835,77017070,7.28000020980835
2021-05-14,8.010000228881836,7.340000152587891,7.449999809265137,7.46999979019165,343846319,7.46999979019165
2021-05-17,7.980000019073486,7.099999904632568,7.28000020980835,7.909999847412109,274694869,7.909999847412109
2021-05-18,7.849999904632568,7.309999942779541,7.639999866485596,7.690000057220459,200957560,7.690000057220459
2021-05-19,8.460000038146973,7.679999828338623,7.679999828338623,8.460000038146973,248885536,8.460000038146973
2021-05-20,8.619999885559082,7.699999809265137,8.149999618530273,7.869999885559082,235305517,7.869999885559082
2021-05-21,8.390000343322754,7.409999847412109,7.78000020980835,8.119999885559082,184071561,8.119999885559082
2021-05-24,8.930000305175781,8.039999961853027,8.039999961853027,8.670000076293945,266750077,8.670000076293945
2021-05-25,9.539999961853027,8.8100004196167,8.8100004196167,9.539999961853027,208124433,9.539999961853027
2021-05-26,10.449999809265137,9.3100004196167,10.029999732971191,9.5,332977076,9.5
2021-05-27,9.8100004196167,9.1899995803833,9.600000381469727,9.779999732971191,245950246,9.779999732971191
2021-05-28,10.760000228881836,9.539999961853027,9.600000381469727,10.59000015258789,302463969,10.59000015258789
2021-05-31,11.15999984741211,10.050000190734863,10.630000114440918,11.09000015258789,249411763,11.09000015258789
2021-06-01,11.210000038146973,10.270000457763672,10.800000190734863,10.569999694824219,200785424,10.569999694824219
2021-06-02,10.819999694824219,9.899999618530273,10.390000343322754,10.470000267028809,212902259,10.470000267028809
2021-06-03,10.399999618530273,9.880000114440918,10.270000457763672,9.890000343322754,149911946,9.890000343322754
2021-06-04,10.1899995803833,9.550000190734863,9.6899995803833,9.65999984741211,140927264,9.65999984741211
